Year,Month,Code_machine,family_pf,recipe_key,quantity_produced_ton,qty_bon_choix_ton,qty_autre_choix_ton,pct_bon_choix,ingredient,ratio_kg_per_ton,quantity_actual_kg,consumption_reelle_kg,quantity_theoretical_kg,ecart_kg,ecart_reel_vs_recette_kg,ecart_pct_recette
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,Fiber ratio,1.204,0.0,0.0,3.06,-3.06,-3.06,-100.0
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,waste paper Ratio,1.204,0.0,0.0,3.06,-3.06,-3.06,-100.0
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,Starch cationic ratio,15.0,0.0,0.0,38.1,-38.1,-38.1,-100.0
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,Starch oxidized ratio,50.0,0.0,0.0,127.0,-127.0,-127.0,-100.0
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,Biocide ratio,0.15,0.0,0.0,0.38,-0.38,-0.38,-100.0
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,defoamer ratio (Defoamer 1 (afranil)),1.2,0.0,0.0,3.05,-3.05,-3.05,-100.0
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,Retention aids ratio,0.37,0.0,0.0,0.94,-0.94,-0.94,-100.0
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,Krofta Polymer ratio,0.35,0.0,0.0,0.89,-0.89,-0.89,-100.0
2017,1,,Cannelure (Fluting),Fluting,2.54,2.54,0.0,100.0,Prestige cleaning aids Ratio (prestige),0.5,0.0,0.0,1.27,-1.27,-1.27,-100.0
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Pulp Ratio,0.82,-216.93,216.93,2134.46,-2351.39,-1917.53,-89.84
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Standard Pulp ratio,0.5493999999999999,0.0,0.0,1430.09,-1430.09,-1430.09,-100.0
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Flocon pulp ratio,0.27060000000000006,-1226.3,1226.3,704.37,-1930.67,521.93,74.1
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Fiber ratio,1.1,0.0,0.0,2863.3,-2863.3,-2863.3,-100.0
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,waste paper Ratio,0.28,-377.23,377.23,728.84,-1106.07,-351.61,-48.24
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Starch cationic ratio,26.0,0.0,0.0,67678.1,-67678.1,-67678.1,-100.0
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Biocide ratio,0.15,0.0,0.0,390.45,-390.45,-390.45,-100.0
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,defoamer ratio (Defoamer 1 (afranil)),1.5,-940.0,940.0,3904.51,-4844.51,-2964.51,-75.93
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Retention aids ratio,0.27,0.0,0.0,702.81,-702.81,-702.81,-100.0
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Krofta Polymer ratio,0.25,0.0,0.0,650.75,-650.75,-650.75,-100.0
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Prestige cleaning aids Ratio (prestige),0.4,0.0,0.0,1041.2,-1041.2,-1041.2,-100.0
2017,1,0102MPM2,Kraft pour sacs,Kraft_PM2,2603.004,2603.004,0.0,100.0,Sizing Kraft (Agent collage ASA),3.2,-10.44,10.44,8329.61,-8340.05,-8319.17,-99.87
